"code";"name";"_activeTaxLine";"taxType.importId"
"UK_SRT";"Standard rate purchase (20%)";"29";"GBR_PCG1"
"UK_SRS_20";"Standard rate sale (20%)";"30";"GBR_PCG1"
"UK_ZRP_EC";"Zero rated purchase from EC";"31";"GBR_PCG1"
"UK_STC_EC";"Sales to customers in EC";"32";"GBR_PCG1"
"UK_LRP";"Lower rate purchase (5%)";"33";"GBR_PCG1"
"UK_SRP_EC";"Standard rated purchase from EC";"34";"GBR_PCG1"
"UK_EP";"Exempt purchase";"35";"GBR_PCG1"
"UK_SRP";"Standard rate purchase (17.5%)";"36";"GBR_PCG1"
"UK_ZRP";"Zero rated purchase";"37";"GBR_PCG1"
"UK_ES";"Exempt sale";"38";"GBR_PCG1"
"UK_SRS_17";"Standard rate sale (17.5%)";"39";"GBR_PCG1"
"UK_ZRS";"Zero rated sale";"40";"GBR_PCG1"
